epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,491.175,1.08917,0.83902,0.16536,0.58604,1.21853,0.8562,0.925,0.93331,0.37847,0.78308,0.85,0.88088,0.49977,2.30141,3.08881,0.10085,0.98684,2.15306,0.000927057,0.000927057,0.000927057
72,498.067,1.10309,0.90693,0.17567,0.60411,1.28252,0.99723,1,0.995,0.67082,0.99723,1,0.995,0.92775,1.30308,0.64236,0.05032,0.74254,1.36241,0.000925013,0.000925013,0.000925013
73,505.138,1.08606,0.75742,0.16984,0.63039,1.22999,0.99776,1,0.995,0.6612,0.99776,1,0.995,0.93045,1.39676,0.54461,0.04629,0.58753,1.43329,0.000922942,0.000922942,0.000922942
74,512.174,1.11439,0.80383,0.18431,0.62719,1.26284,0.99205,1,0.995,0.73678,0.99205,1,0.995,0.93816,1.12403,0.62576,0.04851,0.63658,1.30939,0.000920846,0.000920846,0.000920846
75,519.292,1.10892,0.96772,0.19609,0.61069,1.30755,0.92972,0.99234,0.98441,0.63155,0.90638,0.96822,0.9621,0.73758,1.38509,1.47373,0.05784,0.85289,1.51339,0.000918725,0.000918725,0.000918725
76,526.058,1.17488,0.98713,0.16439,0.63847,1.29266,0.95102,0.975,0.99285,0.74291,0.95102,0.975,0.99285,0.94791,1.21124,0.62732,0.0552,0.68234,1.35931,0.000916577,0.000916577,0.000916577
77,533.145,1.04464,0.92877,0.15687,0.59801,1.22929,0.99451,1,0.995,0.69491,0.99451,1,0.995,0.97496,1.36322,0.45309,0.04562,0.60046,1.41088,0.000914405,0.000914405,0.000914405
78,539.701,1.06881,1.00327,0.17051,0.59536,1.23147,0.97313,1,0.99256,0.57934,0.97313,1,0.99451,0.95438,1.78583,0.6208,0.04687,0.73174,1.71016,0.000912207,0.000912207,0.000912207
79,546.682,1.10995,0.93319,0.13821,0.59331,1.26272,0.97549,1,0.995,0.68596,0.97549,1,0.995,0.91862,1.33046,0.58592,0.04448,0.61794,1.3982,0.000909984,0.000909984,0.000909984
80,553.532,1.04119,0.98216,0.1724,0.58678,1.22965,0.99283,1,0.995,0.6713,0.99283,1,0.995,0.96374,1.32823,0.55025,0.04883,0.64624,1.38784,0.000907736,0.000907736,0.000907736
81,560.164,1.03276,0.79506,0.16694,0.58705,1.21994,0.98101,1,0.995,0.58635,0.98101,1,0.995,0.92294,1.73663,0.62336,0.05731,0.72577,1.62932,0.000905463,0.000905463,0.000905463
82,566.713,1.00433,0.82348,0.15933,0.55778,1.20972,0.99515,1,0.995,0.74456,0.99515,1,0.995,0.97279,1.10801,0.42714,0.05567,0.70539,1.25647,0.000903166,0.000903166,0.000903166
83,573.502,1.07608,0.99124,0.17358,0.60149,1.23177,0.99657,1,0.995,0.75623,0.99657,1,0.995,0.96048,1.10965,0.61297,0.06695,0.72206,1.26431,0.000900844,0.000900844,0.000900844
84,580.176,1.03823,0.75369,0.14727,0.57892,1.19441,0.93776,0.975,0.99035,0.77673,0.89962,0.925,0.93985,0.88969,0.96346,1.1296,0.10785,0.73188,1.19374,0.000898497,0.000898497,0.000898497
85,587.051,1.01025,0.8253,0.1531,0.57013,1.23399,0.73945,0.9,0.91813,0.70218,0.79804,0.88924,0.89268,0.80681,0.99782,1.6165,0.19466,0.86058,1.21681,0.000896127,0.000896127,0.000896127
86,594.029,0.98743,0.71123,0.13507,0.55442,1.17669,0.97385,1,0.98841,0.66315,0.97385,1,0.98841,0.92901,1.38231,0.80277,0.05899,0.71234,1.43663,0.000893732,0.000893732,0.000893732
87,600.517,1.02279,0.77514,0.14705,0.55365,1.19866,0.97192,1,0.99378,0.72203,0.97192,1,0.99378,0.91605,1.14464,0.5979,0.04554,0.57271,1.27055,0.000891313,0.000891313,0.000891313
88,607.149,1.01518,0.78002,0.14598,0.57594,1.23108,0.97372,1,0.99207,0.80406,0.97372,1,0.99207,0.98163,0.90907,0.41125,0.04326,0.50124,1.14636,0.00088887,0.00088887,0.00088887
89,613.879,1.03317,0.82352,0.16517,0.5832,1.20637,0.99802,1,0.995,0.77355,0.99802,1,0.995,0.96327,0.92698,0.46879,0.04379,0.4847,1.14977,0.000886404,0.000886404,0.000886404
90,620.476,1.02736,0.77948,0.13305,0.56302,1.21702,0.9973,1,0.995,0.71006,0.9973,1,0.995,0.96377,1.16471,0.47998,0.04227,0.59659,1.28841,0.000883914,0.000883914,0.000883914
91,627.304,1.00629,0.74254,0.14981,0.55176,1.20545,0.99474,1,0.995,0.7877,0.99474,1,0.995,0.97785,0.96209,0.52012,0.04638,0.54918,1.22366,0.000881401,0.000881401,0.000881401
92,634.147,1.02866,0.73989,0.14651,0.57966,1.20892,0.99724,1,0.995,0.78973,0.99724,1,0.995,0.96857,0.92052,0.37003,0.04019,0.4784,1.16562,0.000878864,0.000878864,0.000878864
93,640.862,0.97043,0.63961,0.12933,0.55945,1.19023,0.97085,1,0.99134,0.79702,0.97085,1,0.99134,0.98328,0.85717,0.36118,0.04162,0.50733,1.13627,0.000876305,0.000876305,0.000876305
94,647.667,0.98871,0.71183,0.14305,0.55033,1.20962,0.98742,1,0.995,0.77066,0.98742,1,0.995,0.96784,0.92829,0.49319,0.0399,0.56638,1.20439,0.000873723,0.000873723,0.000873723
95,654.301,0.95331,0.78593,0.15762,0.55662,1.18431,0.99786,1,0.995,0.69254,0.99786,1,0.995,0.96201,1.26923,0.46926,0.04473,0.62556,1.33797,0.000871117,0.000871117,0.000871117
96,661.179,0.96309,0.8339,0.14875,0.551,1.15775,0.99719,1,0.995,0.72671,0.99719,1,0.995,0.9617,1.22193,0.43137,0.03518,0.53954,1.3126,0.00086849,0.00086849,0.00086849
97,668.178,1.02249,0.69873,0.14906,0.57156,1.23945,0.9981,1,0.995,0.78102,0.9981,1,0.995,0.9651,1.06715,0.39402,0.0387,0.51287,1.24418,0.000865839,0.000865839,0.000865839
98,675.213,1.00489,0.81334,0.12788,0.58306,1.1928,0.99808,1,0.995,0.68249,0.99808,1,0.995,0.97568,1.31973,0.40485,0.03595,0.54944,1.43013,0.000863167,0.000863167,0.000863167
99,682.234,0.96185,0.76888,0.14747,0.56591,1.18911,0.99605,1,0.995,0.67062,0.99605,1,0.995,0.97389,1.37687,0.49037,0.04101,0.60662,1.48978,0.000860473,0.000860473,0.000860473
100,689.63,0.98778,0.69016,0.13306,0.5553,1.20788,0.99729,1,0.995,0.58531,0.99729,1,0.995,0.97987,1.69181,0.41776,0.04805,0.64187,1.78163,0.000857756,0.000857756,0.000857756
101,696.714,0.97419,0.5948,0.13029,0.52156,1.16839,0.99754,1,0.995,0.67947,0.99754,1,0.995,0.98714,1.40045,0.33116,0.04876,0.55035,1.49734,0.000855018,0.000855018,0.000855018
102,704.027,0.97922,0.64814,0.14587,0.53881,1.19163,0.99637,1,0.995,0.74257,0.99637,1,0.995,0.97909,1.08604,0.36524,0.05165,0.48434,1.23579,0.000852258,0.000852258,0.000852258
103,710.948,1.00698,0.6197,0.12712,0.55506,1.21933,0.99632,1,0.995,0.78391,0.99632,1,0.995,0.995,0.94561,0.31222,0.05008,0.49264,1.16072,0.000849477,0.000849477,0.000849477
104,717.885,0.91552,0.71508,0.1251,0.50541,1.14784,0.99744,1,0.995,0.81208,0.99744,1,0.995,0.98415,0.81021,0.37496,0.04159,0.47348,1.10476,0.000846674,0.000846674,0.000846674
105,724.723,0.96605,0.85904,0.12959,0.56311,1.17053,0.99465,1,0.995,0.83882,0.99465,1,0.995,0.97602,0.71237,0.3729,0.03798,0.41379,1.07136,0.000843851,0.000843851,0.000843851
106,731.44,0.94119,0.80781,0.12375,0.52061,1.14647,0.99528,1,0.995,0.84289,0.99528,1,0.995,0.97212,0.72341,0.44352,0.03806,0.43069,1.0681,0.000841006,0.000841006,0.000841006
107,738.289,0.94859,0.80207,0.1171,0.53331,1.17176,0.99419,1,0.995,0.78158,0.99419,1,0.995,0.97608,0.95223,0.42118,0.03629,0.49323,1.20515,0.000838141,0.000838141,0.000838141
108,744.889,0.97384,0.61615,0.13268,0.52764,1.18474,0.99339,1,0.995,0.78182,0.99339,1,0.995,0.98324,1.00247,0.41078,0.04028,0.44437,1.217,0.000835255,0.000835255,0.000835255
109,751.749,0.94109,0.65302,0.11632,0.50801,1.18018,0.99551,1,0.995,0.77879,0.99551,1,0.995,0.97248,1.02666,0.39355,0.03404,0.48591,1.24932,0.000832349,0.000832349,0.000832349
110,758.89,0.93909,0.60791,0.1212,0.51544,1.15363,0.99592,1,0.995,0.63994,0.99592,1,0.995,0.98212,1.49461,0.33395,0.03521,0.57291,1.57079,0.000829423,0.000829423,0.000829423
111,766.141,0.96547,0.78664,0.13322,0.52832,1.16782,0.99692,1,0.995,0.63209,0.99692,1,0.995,0.96746,1.52774,0.53406,0.04631,0.58922,1.59638,0.000826477,0.000826477,0.000826477
