epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,555.357,0.86672,0.52218,0.15535,0.52799,1.12361,0.97231,1,0.995,0.89297,0.97231,1,0.995,0.97668,0.51644,0.19927,0.01848,0.48167,0.98602,0.000916577,0.000916577,0.000916577
77,562.438,0.82445,0.49199,0.13082,0.48646,1.09526,0.98141,1,0.995,0.91098,0.98141,1,0.995,0.995,0.46619,0.22918,0.02167,0.44888,0.96775,0.000914405,0.000914405,0.000914405
78,569.475,0.7812,0.45637,0.11046,0.49012,1.04755,0.99096,1,0.995,0.81946,0.99096,1,0.995,0.94924,0.71222,0.30567,0.02165,0.41302,1.0733,0.000912207,0.000912207,0.000912207
79,576.67,0.835,0.60483,0.15002,0.51871,1.10695,0.98688,1,0.995,0.88122,0.98688,1,0.995,0.957,0.50483,0.30785,0.0214,0.43554,0.96049,0.000909984,0.000909984,0.000909984
80,583.96,0.8021,0.52395,0.11972,0.4781,1.0485,0.98856,1,0.995,0.93423,0.98856,1,0.995,0.995,0.48779,0.2708,0.02342,0.50523,0.96765,0.000907736,0.000907736,0.000907736
81,591.274,0.80226,0.59022,0.12026,0.50745,1.06973,0.99059,1,0.995,0.91134,0.99059,1,0.995,0.95264,0.48848,0.38571,0.02591,0.36373,0.97468,0.000905463,0.000905463,0.000905463
82,598.71,0.78269,0.52396,0.11298,0.48751,1.0633,0.9908,1,0.995,0.92955,0.9908,1,0.995,0.9378,0.48031,0.34193,0.02098,0.4482,0.99792,0.000903166,0.000903166,0.000903166
83,606.046,0.77646,0.56374,0.12834,0.49396,1.05266,0.99148,1,0.995,0.89753,0.99148,1,0.995,0.995,0.56903,0.45337,0.0221,0.47644,1.03774,0.000900844,0.000900844,0.000900844
84,613.397,0.79372,0.63983,0.12462,0.49866,1.07488,0.98996,1,0.995,0.87025,0.98996,1,0.995,0.97703,0.53115,0.30968,0.02852,0.42391,1.0358,0.000898497,0.000898497,0.000898497
85,620.63,0.76429,0.6513,0.12935,0.49145,1.06362,0.98841,1,0.995,0.8538,0.98841,1,0.995,0.995,0.56563,0.29042,0.02417,0.52009,1.05549,0.000896127,0.000896127,0.000896127
86,627.947,0.767,0.57003,0.12315,0.4855,1.0445,0.98956,1,0.995,0.88251,0.98956,1,0.995,0.995,0.55142,0.14548,0.0163,0.44429,1.02046,0.000893732,0.000893732,0.000893732
87,635.284,0.74003,0.51113,0.11789,0.46788,1.03919,0.99509,1,0.995,0.78431,0.99509,1,0.995,0.95772,0.92421,0.30639,0.02479,0.604,1.23834,0.000891313,0.000891313,0.000891313
88,642.446,0.75301,0.51078,0.13518,0.49373,1.03729,0.99099,1,0.995,0.89878,0.99099,1,0.995,0.995,0.55832,0.24803,0.02404,0.40519,0.9771,0.00088887,0.00088887,0.00088887
89,649.538,0.77313,0.50287,0.11264,0.4834,1.06251,0.99082,1,0.995,0.91592,0.99082,1,0.995,0.9773,0.49793,0.29546,0.03784,0.3484,0.97294,0.000886404,0.000886404,0.000886404
90,656.713,0.75657,0.54304,0.12293,0.48895,1.07851,0.99143,1,0.995,0.89072,0.99143,1,0.995,0.96723,0.47294,0.25664,0.02197,0.31864,0.99016,0.000883914,0.000883914,0.000883914
91,663.957,0.73585,0.42922,0.09095,0.46439,1.03823,0.9892,1,0.995,0.90495,0.9892,1,0.995,0.97733,0.52609,0.21201,0.01651,0.41193,1.00537,0.000881401,0.000881401,0.000881401
